No,Provinsi,Kabupaten/Kota,TON-2006,TON-2007,TON-2008,TON-2009,TON-2010,TON-2011,TON-2012,TON-2013,TON-2014,TON-2015,TON-2016,TON-2017,TON-2018,TON-2019,TON-2020,TON-2021,TON-2022,TON-2023,TON_MEAN,TON_SUM,L-2006,L-2007,L-2008,L-2009,L-2010,L-2011,L-2012,L-2013,L-2014,L-2016,L-2018,L-2020,L-2022,L-2023,L_MEAN,L_SUM
1.0,Jawa Barat,Bogor,"1278,31",1278,1281,1281,1441,1924,1939,1931,2172,2451,2089,2962,"3738,11","3854,37",3854,"4632,87",4037,3130,"2479,038824","47752,69882","2239,18",2251,2504,2639,2888,2915,2935,2925,2927,3170,"6234,96",6418,7208,7164,"5954,72356","126258,4712"
,Jawa Barat,Sukabumi,"205,85",219,269,279,143,339,352,607,228,110,114,117,"166,41","166,64",182,"326,02",345,382,"245,2305882","4796,150588","969,5",970,972,920,889,889,889,889,715,643,"828,37",1090,1290,1287,"959,4879567","20476,75913"
,Jawa Barat,Cianjur,"422,6",319,327,241,182,177,224,237,265,266,252,273,"366,27","384,2",384,"540,55",621,751,"322,4482353","6555,068235","1216,38",1247,1326,1555,1591,1621,1679,1712,1733,1837,"2730,19",2876,3197,3267,"1762,875604","38524,51207"
,Jawa Barat,Bandung,"839,65",1160,2809,4219,4273,4691,6362,6772,6964,7037,7201,5401,"6762,2","6798,21",6798,"7825,37",8280,8606,"5540,731176","108339,1612","5092,31",8920,8469,8656,8656,9319,9462,10163,10423,10724,"11872,98",12147,14524,14958,"14411,45012","303187,0025"
,Jawa Barat,Garut,"463,93",463,508,670,1592,1635,1685,1776,1780,1788,2282,2464,"2808,75",2949,2949,"3036,29",3504,3199,"1903,174706","37456,14471",917,1547,1547,2110,3436,3491,3516,3796,3796,4189,"5150,58",5095,6413,6499,"5107,957337","108658,1467"
,Jawa Barat,Tasikmalaya,"765,8",422,911,947,502,1112,1184,1139,1364,1363,1363,2740,1493,"1498,91",1499,"1486,96",1383,1473,"1245,51","23892,18","2217,97",1327,1338,1352,1375,1509,1546,1616,1614,1681,"2637,8",2815,3045,3145,"2897,548421","61095,96842"
,Jawa Barat,Ciamis,"1566,22",2721,1439,1393,1420,945,945,961,646,646,669,767,"781,74","963,95",964,"963,95",1082,1082,"1110,227059","21066,08706","2186,9",2121,2153,2144,2169,1419,1519,1969,1532,1536,"2141,92",2511,2728,2728,"2757,793901","57883,87802"
,Jawa Barat,Kuningan,"638,64",642,643,630,633,637,638,646,594,617,560,780,"1305,74","1286,31",852,"490,09",469,497,"709,5164706","13268,29647","1643,5",1646,1651,1651,1655,165,1900,1886,1887,1888,"1739,27",1740,1627,1572,"1966,561734","40903,23467"
,Jawa Barat,Majalengka,"233,08",260,264,280,280,272,273,233,231,211,203,202,"217,74","230,33",230,"241,43",278,271,"243,5047059","4654,084706","798,76",796,804,801,802,902,802,833,833,1030,"1070,31",1072,1122,1123,"925,4783901","19632,5678"
,Jawa Barat,Sumedang,"433,68",595,610,629,633,373,666,668,673,673,670,624,"847,83","955,58",899,"824,71",933,702,"688,6941176","13098,49412",2415,2505,2493,2614,2570,2439,2435,2421,2421,2440,3142,3693,4364,4614,"2794,626223","60506,52446"
,Jawa Barat,Subang,"326,14",365,214,228,436,458,394,420,476,476,491,491,"490,62",545,545,"547,05",523,521,"436,8123529","8383,622353",785,792,792,838,953,959,959,975,1022,1025,"1217,4",1213,1339,1435,"1253,993932","26514,87864"
,Jawa Barat,Purwakarta,"107,29",106,123,129,130,138,168,174,178,176,155,174,"191,07","189,22",189,"188,83",194,194,"159,4358824","3063,845882","297,46",252,361,371,383,389,390,405,413,398,"386,76",386,752,745,"482,806935","10401,1387"
,Jawa Barat,Karawang,"51,12",31,39,100,714,195,120,43,215,215,207,207,"207,2","207,2",218,354,354,355,"204,56","4037,08","138,26",138,138,172,363,412,210,215,245,265,265,380,745,750,"484,6789474","10443,57895"
,Jawa Barat,Bandung Barat,0,0,273,441,1386,1354,508,967,1038,1077,1097,459,"1221,67","990,1",990,"1349,39",1342,1164,"852,5388235","16509,69882",0,0,1003,1406,1411,1464,1889,2023,2063,2217,"3024,95",3081,3384,3211,"2377,556718","50762,13437"
,Jawa Barat,Pangandaran,0,0,0,0,0,0,0,0,317,292,267,267,253,"268,6",269,"272,6",275,276,"145,9529412","2903,152941",0,0,0,0,0,0,0,0,549,534,"609,29",597,617,633,"370,9471517","8051,943034"
,Jawa Barat,Kota Tasikmalaya,1,13,7,7,7,7,6,5,4,4,4,5,"5,23","4,55",5,"6,65",3,3,"5,554705882","102,9847059",6,59,21,27,24,24,24,22,22,22,"20,6",21,21,18,"23,14681115","480,9362229"
,Jawa Barat,Kota Banjar,"13,05",7,13,9,9,9,8,8,5,5,5,5,"5,54","6,15",6,"6,3",7,7,"7,472941176","141,5129412","64,1",21,53,30,26,32,32,26,23,23,"23,75",25,25,24,"30,48083591","633,6167183"
2.0,Papua,Jayawijaya,1493,1497,1513,1006,499,"328,5",158,179,200,475,475,"237,5","389,25",541,541,541,"270,5","405,75","608,4558824","11357,95588",3510,4435,3620,"3222,5",2825,"2295,5",1766,2336,2906,3091,"2189,75",3004,"57,5","1530,75","2578,047988","53091,70975"
,Papua,Paniai,336,343,349,346,343,"247,5",152,152,152,152,152,76,208,340,340,340,170,255,"246,9705882","4700,470588",1230,1245,1290,645,"322,5","839,25",1356,1383,1410,1771,"1169,75",1454,305,"879,5","1077,52322","22429,9644"
,Papua,Puncak Jaya,54,,90,"82,5",75,86,97,97,97,151,151,"75,5","185,75",296,296,296,148,222,"142,359375","2642,109375",299,379,459,"229,5","114,75","311,875",509,534,559,759,"659,25",939,246,"592,5","512,8865132","10850,23026"
,Papua,Mimika,2,2,2,1,"0,75","0,5",1,1,1,"10,5",20,10,25,40,40,40,20,30,"12,75","259,5",26,26,26,13,"6,5","18,75",31,31,31,166,"116,5",150,27,"88,5","56,36842105","1215,868421"
,Papua,Yahukimo,144,152,152,152,152,"113,5",75,350,625,625,625,"312,5","233,75",155,155,155,"77,5","116,25","250,25","4620,75",576,581,581,581,581,473,365,"987,5",1610,1710,837,819,"139,5","479,25","800,8289474","16495,82895"
,Papua,Pegunungan Bintang,209,211,211,211,211,"172,5",134,134,134,134,134,67,"152,5",238,238,238,119,"178,5","173,4117647","3299,911765",411,434,479,"456,5",434,"531,5",629,629,629,679,"634,75",1030,177,"603,5","600,0301858","12604,10372"
