Provinsi,Kabupaten/Kota,TON_MEAN,TON_SUM,L_MEAN,L_SUM
Jawa Barat,Bogor,2479.038824,47752.69882,5954.72356,126258.4712
Jawa Barat,Sukabumi,245.2305882,4796.150588,959.4879567,20476.75913
Jawa Barat,Cianjur,322.4482353,6555.068235,1762.875604,38524.51207
Jawa Barat,Bandung,5540.731176,108339.1612,14411.45012,303187.0025
Jawa Barat,Garut,1903.174706,37456.14471,5107.957337,108658.1467
Jawa Barat,Tasikmalaya,1245.51,23892.18,2897.548421,61095.96842
Jawa Barat,Ciamis,1110.227059,21066.08706,2757.793901,57883.87802
Jawa Barat,Kuningan,709.5164706,13268.29647,1966.561734,40903.23467
Jawa Barat,Majalengka,243.5047059,4654.084706,925.4783901,19632.5678
Jawa Barat,Sumedang,688.6941176,13098.49412,2794.626223,60506.52446
Jawa Barat,Subang,436.8123529,8383.622353,1253.993932,26514.87864
Jawa Barat,Purwakarta,159.4358824,3063.845882,482.806935,10401.1387
Jawa Barat,Karawang,204.56,4037.08,484.6789474,10443.57895
Jawa Barat,Bandung Barat,852.5388235,16509.69882,2377.556718,50762.13437
Jawa Barat,Pangandaran,145.9529412,2903.152941,370.9471517,8051.943034
Jawa Barat,Kota Tasikmalaya,5.554705882,102.9847059,23.14681115,480.9362229
Jawa Barat,Kota Banjar,7.472941176,141.5129412,30.48083591,633.6167183
Papua,Jayawijaya,608.4558824,11357.95588,2578.047988,53091.70975
Papua,Paniai,246.9705882,4700.470588,1077.52322,22429.9644
Papua,Puncak Jaya,142.359375,2642.109375,512.8865132,10850.23026
Papua,Mimika,12.75,259.5,56.36842105,1215.868421
Papua,Yahukimo,250.25,4620.75,800.8289474,16495.82895
Papua,Pegunungan Bintang,173.4117647,3299.911765,600.0301858,12604.10372
Papua,Tolikara,73.92647059,1464.176471,418.6106811,8996.713622
Papua,Nduga,17.16176471,341.1617647,105.5301858,2248.353715
Papua,Lanny Jaya,207.4558824,4040.955882,702.4164087,14940.32817
Papua,Deiyai,13.47058824,273.2205882,76.48374613,1696.674923
Kalimantan Tengah,Kotawaringin Barat,114.4388235,2067.138824,472.294613,9733.99226
Kalimantan Tengah,Kotawaringin Timur,374.6505882,6837.310588,1098.251641,22231.14282
